ARTIST,TITLE,YEAR,THEME,SPOTIFY_URL
Bettye LaVette,Let Me Down Easy,1965,Heartbreak,http://open.spotify.com/track/0MvsfFXD0XkeOcPUOO5XaH
John Lennon,Jealous Guy,1971,Heartbreak,-
Leona Lewis,Bleeding Love,2007,Heartbreak,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe
Madonna,Crazy For You,1985,Heartbreak,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN
McAlmont and Butler,Yes,1995,Heartbreak,http://open.spotify.com/track/6joAGL5IuD66Qgcz049ObW
Van Morrison,It’s All in the Game,1979,Heartbreak,http://open.spotify.com/track/4LPR6jSlFTTHavQVaYLfXR
Morrissey,"The More You Ignore Me, The Closer I Get",1994,Heartbreak,http://open.spotify.com/track/2ljH5Nxub9QIJ1WE1hsVU3
The Mountain Goats,No Children,2003,Heartbreak,http://open.spotify.com/track/6KyyTheVmJZsNdqwOj0MR3
New Order,Blue Monday,1983,Heartbreak,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu
Sinead O’Connor,Nothing Compares 2 U,1990,Heartbreak,http://open.spotify.com/track/07iHAswcApphvyllRDQrEa
Mary Margaret O’Hara,To Cry About,1988,Heartbreak,-
Roy Orbison,Crying,1961,Heartbreak,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM
Gram Parsons with Emmylou Harris,Love Hurts,1974,Heartbreak,http://open.spotify.com/track/51sT9Y2lXJocjVUhA5NFK1
Gram Parsons,"$1,000 Wedding",1974,Heartbreak,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC
Dolly Parton,Jolene,1973,Heartbreak,http://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
Ann Peebles,It Was Jealousy,1976,Heartbreak,-
Salt-n-Pepa,Let’s Talk About Sex,1990,Sex,-
Katy Perry,Ur So Gay,2007,Heartbreak,http://open.spotify.com/track/5monag19nA467DCEUmE7Lq
